id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD
QB1,Patrick Mahomes,KC,QB,1,371,16,605,399,4696,39,11,31,59,333,3
QB2,Josh Allen,BUF,QB,2,357,16,578,367,4182,31,13,37,113,628,6
QB3,Jalen Hurts,PHI,QB,3,337,15,467,299,3507,22,10,35,142,670,12
QB4,Joe Burrow,CIN,QB,4,336,16,589,400,4503,33,12,45,70,255,5
QB5,Lamar Jackson,BLT,QB,5,327,15,459,288,3358,25,12,36,143,922,5
QB6,Justin Fields,CHI,QB,6,309,15,441,276,3195,21,12,39,139,912,6
QB7,Deshaun Watson,CLV,QB,7,297,16,484,315,3760,25,11,42,99,485,4
QB8,Justin Herbert,LAC,QB,8,296,16,602,402,4305,30,11,35,60,202,1
QB9,Kirk Cousins,MIN,QB,9,285,16,596,394,4491,28,12,40,30,102,2
QB10,Trevor Lawrence,JAX,QB,10,282,16,563,363,3895,26,13,34,64,305,4
QB11,Dak Prescott,DAL,QB,11,282,16,538,353,4094,26,13,32,58,242,3
QB12,Geno Smith,SEA,QB,12,271,16,545,365,3922,27,12,43,55,275,1
QB13,Russell Wilson,DEN,QB,13,271,16,516,326,3845,23,11,45,63,323,3
QB14,Aaron Rodgers,NYJ,QB,14,269,16,551,355,4017,28,10,36,36,110,1
QB15,Daniel Jones,NYG,QB,15,269,15,512,332,3385,20,10,41,101,554,4
QB16,Tua Tagovailoa,MIA,QB,16,257,15,529,348,3918,26,12,34,45,140,2
QB17,Jared Goff,DET,QB,17,244,16,554,365,3940,24,11,31,33,83,2
QB18,Anthony Richardson,IND,QB,18,243,15,444,269,2893,16,13,40,118,652,5
QB19,Kenny Pickett,PIT,QB,19,240,15,496,319,3417,21,12,35,59,265,3
QB20,Derek Carr,NO,QB,20,238,16,521,344,3873,23,12,33,34,128,1
QB21,Matthew Stafford,LAR,QB,21,238,15,560,372,4285,21,13,37,29,70,1
QB22,Jimmy Garoppolo,LV,QB,22,218,14,498,337,3888,19,13,34,33,47,2
QB23,Ryan Tannehill,TEN,QB,23,213,14,438,289,3350,17,10,35,47,183,3
QB24,Jordan Love,GB,QB,24,212,15,500,316,3525,20,14,34,46,172,2
QB25,Bryce Young,CAR,QB,25,206,15,519,322,3560,18,13,41,46,162,1
QB26,Brock Purdy,SF,QB,26,201,13,403,265,2988,19,10,29,41,118,3
QB27,Mac Jones,NE,QB,27,194,14,483,321,3347,17,12,33,47,124,1
QB28,Sam Howell,WAS,QB,28,191,13,445,278,3024,14,12,35,66,297,2
QB29,C.J. Stroud,HST,QB,29,187,15,504,308,3288,17,14,41,43,128,1
QB30,Kyler Murray,ARZ,QB,30,177,10,343,227,2354,13,8,23,59,350,3
QB31,Desmond Ridder,ATL,QB,31,170,13,389,246,2756,15,9,28,39,170,2
QB32,Baker Mayfield,TB,QB,32,137,10,348,219,2412,12,9,27,30,104,1
QB33,Kyle Trask,TB,QB,33,91,7,240,153,1597,8,6,18,19,58,1
QB34,Colt McCoy,ARZ,QB,34,62,5,182,119,1175,5,4,14,17,50,0
QB35,Jacoby Brissett,WAS,QB,35,55,4,139,87,907,4,3,10,15,67,1
QB36,Taylor Heinicke,ATL,QB,36,53,4,118,74,837,4,3,9,14,67,1
QB37,Will Levis,TEN,QB,37,43,3,90,56,619,4,3,8,12,62,0
QB38,Brian Hoyer,LV,QB,38,42,3,104,66,702,4,3,8,9,24,0
QB39,Marcus Mariota,PHI,QB,39,41,2,60,38,462,3,2,5,13,72,1
QB40,Bailey Zappe,NE,QB,40,40,3,105,68,696,3,3,7,11,34,0
