id,Name,Team,Pos,Pos Rk,FF Pt,G,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%
RB1,Austin Ekeler,LAC,RB,1,274,14,193,836,9,82,67,500,3,46%,13%
RB2,Christian McCaffrey,SF,RB,2,271,14,192,873,7,86,69,547,3,40%,17%
RB3,Derrick Henry,TEN,RB,3,256,14,317,1367,9,42,32,285,1,67%,8%
RB4,Bijan Robinson,ATL,RB,4,256,14,247,1126,8,64,50,374,2,50%,13%
RB5,Saquon Barkley,NYG,RB,5,254,14,235,1006,8,73,54,430,2,56%,13%
RB6,Josh Jacobs,LV,RB,6,250,14,259,1159,9,54,42,309,1,64%,9%
RB7,Tony Pollard,DAL,RB,7,245,14,245,1165,8,51,39,317,2,49%,9%
RB8,Nick Chubb,CLV,RB,8,238,14,262,1238,9,40,30,274,1,55%,8%
RB9,Jonathan Taylor,IND,RB,9,229,13,268,1222,8,44,32,253,1,57%,9%
RB10,Joe Mixon,CIN,RB,10,226,14,202,828,7,61,49,353,3,53%,10%
RB11,Aaron Jones,GB,RB,11,223,14,189,935,4,66,52,403,3,43%,12%
RB12,Najee Harris,PIT,RB,12,215,14,243,963,6,55,43,274,2,54%,10%
RB13,Travis Etienne,JAX,RB,13,215,14,215,978,6,52,40,322,2,50%,9%
RB14,Jahmyr Gibbs,DET,RB,14,212,14,167,743,7,63,48,381,2,37%,11%
RB15,Rhamondre Stevenson,NE,RB,15,206,14,194,860,5,63,49,342,1,46%,11%
RB16,James Conner,ARZ,RB,16,203,13,203,868,7,52,43,294,1,49%,9%
RB17,Miles Sanders,CAR,RB,17,203,14,216,1012,6,51,36,298,1,51%,9%
RB18,Dameon Pierce,HST,RB,18,203,14,227,966,6,50,37,268,1,52%,9%
RB19,Rachaad White,TB,RB,19,202,14,217,908,5,57,44,293,1,53%,10%
RB20,Alexander Mattison,MIN,RB,20,199,14,212,879,8,43,35,248,1,54%,7%
RB21,Breece Hall,NYJ,RB,21,199,14,173,767,5,59,43,376,2,41%,10%
RB22,Cam Akers,LAR,RB,22,198,14,211,872,7,44,33,280,2,56%,7%
RB23,Kenneth Walker III,SEA,RB,23,198,14,220,968,7,39,30,214,1,53%,7%
RB24,Alvin Kamara,NO,RB,24,196,12,157,666,4,66,49,449,2,35%,12%
RB25,James Cook,BUF,RB,25,193,14,172,768,5,59,44,342,2,45%,10%
RB26,David Montgomery,DET,RB,26,193,14,190,779,8,45,36,278,1,42%,8%
RB27,Isiah Pacheco,KC,RB,27,192,14,200,903,7,37,30,235,1,55%,6%
RB28,Javonte Williams,DEN,RB,28,188,13,174,754,6,52,41,296,2,40%,10%
RB29,J.K. Dobbins,BLT,RB,29,181,13,178,859,7,36,28,195,1,38%,7%
RB30,D'Andre Swift,PHI,RB,30,171,14,115,533,5,55,40,339,2,23%,11%
RB31,AJ Dillon,GB,RB,31,169,14,175,753,5,44,32,248,1,40%,8%
RB32,Jeff Wilson Jr.,MIA,RB,32,162,14,158,689,6,41,27,237,2,39%,7%
RB33,Khalil Herbert,CHI,RB,33,157,14,160,765,5,34,26,187,1,34%,7%
RB34,Dalvin Cook,NYJ,RB,34,156,14,172,736,4,38,29,214,1,40%,7%
RB35,Brian Robinson Jr.,WAS,RB,35,154,14,200,819,4,34,25,183,1,47%,6%
RB36,Samaje Perine,DEN,RB,36,149,14,154,653,4,37,29,215,1,35%,7%
RB37,Antonio Gibson,WAS,RB,37,148,14,108,428,3,62,47,325,2,25%,11%
RB38,Jamaal Williams,NO,RB,38,138,14,157,651,6,26,22,138,1,35%,5%
RB39,Jerick McKinnon,KC,RB,39,136,14,70,292,3,50,39,346,3,19%,8%
RB40,Zach Charbonnet,SEA,RB,40,129,14,133,558,4,33,26,191,1,32%,6%
RB41,Raheem Mostert,MIA,RB,41,128,13,134,628,4,29,22,156,1,33%,5%
RB42,Devin Singletary,HST,RB,42,126,14,126,564,3,39,27,202,1,29%,7%
RB43,Rashaad Penny,PHI,RB,43,120,13,150,735,6,10,8,55,0,31%,2%
RB44,Elijah Mitchell,SF,RB,44,117,14,153,668,5,15,12,81,0,32%,3%
RB45,Jaylen Warren,PIT,RB,45,117,14,113,497,3,33,26,188,1,25%,6%
RB46,Tyler Allgeier,ATL,RB,46,117,14,154,687,4,15,12,83,0,31%,3%
RB47,Ezekiel Elliott,NE,RB,47,110,14,138,529,5,23,16,107,1,33%,4%
RB48,Joshua Kelley,LAC,RB,48,108,14,105,422,4,31,23,163,1,25%,5%
RB49,Jerome Ford,CLV,RB,49,106,14,109,469,3,25,19,146,1,23%,5%
RB50,Damien Harris,BUF,RB,50,105,14,98,416,3,30,23,158,1,25%,5%
RB51,Chuba Hubbard,CAR,RB,51,104,14,123,536,3,23,17,129,1,29%,4%
RB52,Gus Edwards,BLT,RB,52,102,14,122,556,5,12,9,72,0,26%,2%
RB53,Kenneth Gainwell,PHI,RB,53,94,14,94,412,4,20,15,106,1,19%,4%
RB54,Tank Bigsby,JAX,RB,54,93,14,114,474,3,17,13,95,1,27%,3%
RB55,Kyren Williams,LAR,RB,55,93,14,78,333,2,31,24,184,1,21%,5%
RB56,D'Onta Foreman,CHI,RB,56,92,14,115,498,3,15,11,81,0,25%,3%
RB57,Cordarrelle Patterson,ATL,RB,57,92,14,68,304,3,29,22,170,1,14%,6%
RB58,Chase Edmonds,TB,RB,58,86,14,74,334,2,28,20,157,1,18%,5%
RB59,Keaontay Ingram,ARZ,RB,59,72,14,77,329,3,17,13,92,0,19%,3%
RB60,Tyjae Spears,TEN,RB,60,72,14,74,309,2,20,15,116,1,16%,4%
RB61,De'Von Achane,MIA,RB,61,71,14,56,235,1,26,20,143,1,14%,4%
RB62,Chase Brown,CIN,RB,62,71,14,57,238,2,24,18,136,1,15%,4%
RB63,Ty Chandler,MIN,RB,63,68,14,63,270,2,18,14,102,1,16%,3%
