id,Name,Team,Pos,Pos Rk,FF Pt,G,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%
TE1,Travis Kelce,KC,TE,1,278,15,4,15,0,136,101,1143,10,1%,22%
TE2,Mark Andrews,BLT,TE,2,206,15,5,18,0,111,73,866,7,1%,22%
TE3,T.J. Hockenson,MIN,TE,3,193,15,0,0,0,110,75,847,5,0%,18%
TE4,Darren Waller,NYG,TE,4,186,15,0,0,0,101,67,813,6,0%,18%
TE5,George Kittle,SF,TE,5,166,15,2,11,0,86,61,716,5,1%,17%
TE6,Kyle Pitts,ATL,TE,6,161,15,0,0,0,93,55,820,4,0%,19%
TE7,Evan Engram,JAX,TE,7,149,15,2,9,0,87,59,651,4,1%,15%
TE8,Pat Freiermuth,PIT,TE,8,149,15,0,0,0,88,60,643,4,0%,16%
TE9,Dallas Goedert,PHI,TE,9,148,14,0,0,0,81,62,638,4,0%,16%
TE10,Tyler Higbee,LAR,TE,10,143,15,0,0,0,88,61,603,4,0%,14%
TE11,David Njoku,CLV,TE,11,139,14,2,9,0,71,51,570,5,1%,14%
TE12,Cole Kmet,CHI,TE,12,136,15,0,0,0,78,54,579,4,0%,16%
TE13,Dalton Schultz,HST,TE,13,135,15,0,0,0,83,55,550,4,0%,15%
TE14,Zach Ertz,ARZ,TE,14,131,14,0,0,0,79,52,509,5,0%,14%
TE15,Gerald Everett,LAC,TE,15,121,15,0,0,0,69,47,512,4,0%,11%
TE16,Dalton Kincaid,BUF,TE,16,121,15,0,0,0,68,46,495,4,0%,12%
TE17,Chigoziem Okonkwo,TEN,TE,17,119,15,5,14,0,62,43,515,4,1%,12%
TE18,Logan Thomas,WAS,TE,18,114,15,0,0,0,74,47,469,3,0%,13%
TE19,Tyler Conklin,NYJ,TE,19,113,15,0,0,0,67,47,480,3,0%,12%
TE20,Jelani Woods,IND,TE,20,111,15,0,0,0,63,40,481,4,0%,13%
TE21,Sam LaPorta,DET,TE,21,111,15,0,0,0,62,42,471,4,0%,11%
TE22,Greg Dulcich,DEN,TE,22,110,15,0,0,0,63,42,513,3,0%,12%
TE23,Juwan Johnson,NO,TE,23,109,15,0,0,0,59,38,463,4,0%,11%
TE24,Mike Gesicki,NE,TE,24,108,15,0,0,0,63,39,455,4,0%,11%
TE25,Irv Smith Jr.,CIN,TE,25,107,15,0,0,0,61,44,397,4,0%,10%
TE26,Hayden Hurst,CAR,TE,26,107,15,0,0,0,68,49,440,2,0%,12%
TE27,Dawson Knox,BUF,TE,27,102,15,0,0,0,56,38,409,4,0%,9%
TE28,Noah Fant,SEA,TE,28,102,15,0,0,0,56,41,405,3,0%,10%
TE29,Cade Otton,TB,TE,29,101,15,0,0,0,62,39,441,3,0%,11%
TE30,Hunter Henry,NE,TE,30,96,15,0,0,0,57,39,424,2,0%,10%
TE31,Luke Musgrave,GB,TE,31,92,15,0,0,0,55,37,395,3,0%,10%
TE32,Austin Hooper,LV,TE,32,89,15,0,0,0,54,36,368,3,0%,9%
TE33,Michael Mayer,LV,TE,33,88,15,0,0,0,50,33,377,3,0%,8%
TE34,Jake Ferguson,DAL,TE,34,81,15,0,0,0,45,33,332,3,0%,8%
TE35,Taysom Hill,NO,TE,35,74,15,59,315,3,10,7,78,1,13%,2%
TE36,Trey McBride,ARZ,TE,36,63,15,0,0,0,41,28,275,1,0%,7%
TE37,Will Dissly,SEA,TE,37,61,15,0,0,0,34,27,238,2,0%,6%
TE38,Isaiah Likely,BLT,TE,38,60,15,0,0,0,35,23,237,2,0%,7%
TE39,Jonnu Smith,ATL,TE,39,59,15,0,0,0,34,24,261,2,0%,7%
TE40,Noah Gray,KC,TE,40,57,15,0,0,0,31,22,223,2,0%,5%
TE41,Foster Moreau,NO,TE,41,51,15,0,0,0,27,17,226,2,0%,5%
TE42,Hunter Long,LAR,TE,42,51,15,0,0,0,31,20,218,1,0%,5%
TE43,Luke Schoonmaker,DAL,TE,43,50,15,0,0,0,28,19,202,2,0%,5%
TE44,Durham Smythe,MIA,TE,44,50,15,0,0,0,29,21,182,2,0%,5%
TE45,Tommy Tremble,CAR,TE,45,48,15,0,0,0,28,17,193,2,0%,5%
TE46,Teagan Quitoriano,HST,TE,46,47,15,0,0,0,27,17,204,2,0%,5%
TE47,Donald Parham,LAC,TE,47,46,15,0,0,0,25,17,175,2,0%,4%
TE48,Daniel Bellinger,NYG,TE,48,46,15,0,0,0,27,20,179,1,0%,5%
TE49,Jody Fortson,KC,TE,49,46,15,0,0,0,24,16,172,2,0%,4%
TE50,Ko Kieft,TB,TE,50,46,15,0,0,0,28,18,200,1,0%,5%
TE51,Tucker Kraft,GB,TE,51,46,15,0,0,0,27,18,193,1,0%,5%
TE52,Harrison Bryant,CLV,TE,52,45,15,0,0,0,25,18,172,2,0%,5%
TE53,Mo Alie-Cox,IND,TE,53,43,15,0,0,0,24,15,178,2,0%,5%
TE54,Josh Oliver,MIN,TE,54,42,15,0,0,0,24,16,174,1,0%,4%
TE55,Connor Heyward,PIT,TE,55,41,15,5,15,0,21,15,156,1,1%,4%
TE56,Brock Wright,DET,TE,56,41,15,0,0,0,22,15,168,1,0%,4%
TE57,Eric Saubert,MIA,TE,57,40,15,0,0,0,23,15,157,2,0%,4%
