id,Name,Team,Pos,Pos Rk,FF Pt,G,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%
WR1,Justin Jefferson,MIN,WR,1,322,15,4,23,0,164,116,1498,9,1%,27%
WR2,Ja'Marr Chase,CIN,WR,2,313,15,4,21,0,153,102,1454,11,1%,25%
WR3,Cooper Kupp,LAR,WR,3,311,15,11,67,0,163,122,1432,6,3%,26%
WR4,Tyreek Hill,MIA,WR,4,294,15,8,49,1,154,104,1346,8,2%,26%
WR5,Davante Adams,LV,WR,5,288,15,2,12,0,154,96,1479,7,1%,26%
WR6,Stefon Diggs,BUF,WR,6,264,15,0,0,0,143,98,1206,8,0%,24%
WR7,CeeDee Lamb,DAL,WR,7,264,15,10,59,0,140,97,1211,6,2%,25%
WR8,Garrett Wilson,NYJ,WR,8,251,15,4,24,0,135,83,1133,9,1%,24%
WR9,Amon-Ra St. Brown,DET,WR,9,243,15,9,64,1,132,95,1045,6,2%,23%
WR10,Jaylen Waddle,MIA,WR,10,231,15,4,25,0,124,83,1085,6,1%,21%
WR11,Tee Higgins,CIN,WR,11,228,15,0,0,0,122,81,1048,7,0%,20%
WR12,DK Metcalf,SEA,WR,12,228,15,0,0,0,123,78,1017,8,0%,22%
WR13,A.J. Brown,PHI,WR,13,228,15,0,0,0,121,74,1128,7,0%,24%
WR14,DeVonta Smith,PHI,WR,14,219,15,0,0,0,121,79,1013,7,0%,24%
WR15,Keenan Allen,LAC,WR,15,216,15,0,0,0,125,88,923,6,0%,20%
WR16,Deebo Samuel,SF,WR,16,215,14,44,247,2,96,61,874,5,9%,19%
WR17,Chris Olave,NO,WR,17,211,15,0,0,0,120,73,1073,5,0%,22%
WR18,Christian Watson,GB,WR,18,209,15,9,59,0,110,67,983,6,2%,20%
WR19,Amari Cooper,CLV,WR,19,208,15,0,0,0,110,71,965,7,0%,22%
WR20,Jerry Jeudy,DEN,WR,20,208,15,2,14,0,110,69,1042,6,1%,21%
WR21,Mike Evans,TB,WR,21,205,15,0,0,0,125,72,1038,5,0%,22%
WR22,Diontae Johnson,PIT,WR,22,205,15,5,28,0,126,78,960,5,1%,23%
WR23,DeAndre Hopkins,TEN,WR,23,205,15,0,0,0,124,85,976,4,0%,24%
WR24,DJ Moore,CHI,WR,24,203,15,9,57,0,112,64,928,7,2%,23%
WR25,Chris Godwin,TB,WR,25,203,14,4,24,0,125,88,966,3,1%,22%
WR26,Calvin Ridley,JAX,WR,26,202,14,4,25,0,116,74,918,6,1%,20%
WR27,Mike Williams,LAC,WR,27,201,15,0,0,0,106,68,931,7,0%,17%
WR28,Terry McLaurin,WAS,WR,28,199,15,4,25,0,119,74,997,4,1%,21%
WR29,Tyler Lockett,SEA,WR,29,197,15,0,0,0,111,81,876,5,0%,20%
WR30,Marquise Brown,ARZ,WR,30,195,15,0,0,0,121,75,971,4,0%,21%
WR31,Drake London,ATL,WR,31,194,15,0,0,0,118,75,909,5,0%,24%
WR32,Brandin Cooks,DAL,WR,32,190,15,5,31,0,106,68,874,5,1%,19%
WR33,Christian Kirk,JAX,WR,33,189,15,4,26,0,110,71,827,6,1%,19%
WR34,Brandon Aiyuk,SF,WR,34,187,15,2,16,0,105,67,855,6,1%,21%
WR35,Courtland Sutton,DEN,WR,35,185,15,0,0,0,105,63,866,6,0%,20%
WR36,Michael Pittman Jr.,IND,WR,36,181,15,5,32,0,117,75,822,3,1%,24%
WR37,George Pickens,PIT,WR,37,181,15,5,28,0,104,65,845,5,1%,19%
WR38,Treylon Burks,TEN,WR,38,179,15,9,62,0,98,61,856,4,2%,19%
WR39,Jakobi Meyers,LV,WR,39,174,15,2,13,0,101,69,807,4,1%,17%
WR40,Michael A. Thomas,NO,WR,40,173,13,0,0,0,99,74,743,4,0%,18%
WR41,Jahan Dotson,WAS,WR,41,173,15,0,0,0,107,63,863,4,0%,19%
WR42,Jaxon Smith-Njigba,SEA,WR,42,171,15,0,0,0,94,60,776,6,0%,17%
WR43,Skyy Moore,KC,WR,43,167,15,4,22,0,87,57,743,6,1%,14%
WR44,Jordan Addison,MIN,WR,44,167,15,4,24,0,91,57,767,5,1%,15%
WR45,JuJu Smith-Schuster,NE,WR,45,167,15,0,0,0,103,75,784,3,0%,18%
WR46,Rondale Moore,ARZ,WR,46,166,15,12,61,0,97,70,737,3,3%,17%
WR47,Gabriel Davis,BUF,WR,47,162,15,0,0,0,89,49,766,6,0%,15%
WR48,Zay Flowers,BLT,WR,48,160,15,5,29,0,85,53,689,6,1%,17%
WR49,Michael Gallup,DAL,WR,49,157,15,0,0,0,89,50,714,6,0%,16%
WR50,Darnell Mooney,CHI,WR,50,157,15,2,14,0,88,55,698,5,1%,18%
WR51,Quentin Johnston,LAC,WR,51,153,15,0,0,0,86,51,715,5,0%,14%
WR52,DJ Chark,CAR,WR,52,153,14,0,0,0,92,52,792,4,0%,16%
WR53,Odell Beckham Jr.,BLT,WR,53,151,13,2,16,0,86,53,697,4,1%,17%
WR54,Tyler Boyd,CIN,WR,54,150,15,0,0,0,84,60,663,4,0%,14%
WR55,Adam Thielen,CAR,WR,55,144,14,0,0,0,92,59,641,4,0%,16%
WR56,Marquez Valdes-Scantling,KC,WR,56,144,15,0,0,0,74,40,728,5,0%,12%
WR57,Elijah Moore,CLV,WR,57,141,15,5,28,0,80,48,668,4,1%,16%
WR58,Hunter Renfrow,LV,WR,58,141,15,0,0,0,83,60,638,3,0%,14%
WR59,K.J. Osborn,MIN,WR,59,140,15,4,23,0,79,52,623,4,1%,13%
WR60,Allen Lazard,NYJ,WR,60,140,15,4,26,0,73,47,604,5,1%,13%
WR61,Zay Jones,JAX,WR,61,139,15,2,12,0,81,53,569,5,1%,14%
WR62,Nico Collins,HST,WR,62,139,15,0,0,0,89,50,681,4,0%,16%
WR63,Curtis Samuel,WAS,WR,63,137,15,29,154,1,79,52,527,2,7%,14%
WR64,Chase Claypool,CHI,WR,64,131,15,5,28,0,78,45,594,4,1%,16%
WR65,Jayden Reed,GB,WR,65,129,15,4,27,0,77,48,588,3,1%,14%
WR66,Romeo Doubs,GB,WR,66,127,15,0,0,0,82,50,619,3,0%,15%
WR67,Van Jefferson,LAR,WR,67,125,15,0,0,0,75,43,639,3,0%,12%
WR68,Rashod Bateman,BLT,WR,68,121,15,0,0,0,70,44,579,3,0%,14%
WR69,Russell Gage,TB,WR,69,120,15,0,0,0,79,50,499,3,0%,14%
WR70,Alec Pierce,IND,WR,70,119,15,0,0,0,83,45,597,3,0%,17%
WR71,Jonathan Mingo,CAR,WR,71,118,15,0,0,0,73,45,567,3,0%,13%
WR72,DeVante Parker,NE,WR,72,118,15,0,0,0,69,42,557,3,0%,12%
WR73,Parris Campbell,NYG,WR,73,117,14,5,32,0,75,48,514,2,1%,13%
WR74,Isaiah Hodgins,NYG,WR,74,117,15,0,0,0,69,48,471,4,0%,12%
WR75,Donovan Peoples-Jones,CLV,WR,75,116,15,0,0,0,65,42,555,3,0%,13%
WR76,Marvin Jones Jr.,DET,WR,76,114,15,0,0,0,68,40,522,4,0%,12%
WR77,John Metchie III,HST,WR,77,114,15,0,0,0,71,44,542,3,0%,13%
WR78,Robert Woods,HST,WR,78,114,15,4,27,0,78,47,525,2,1%,14%
WR79,Kadarius Toney,KC,WR,79,114,13,7,52,0,56,38,457,4,2%,9%
WR80,Rashid Shaheed,NO,WR,80,114,15,5,30,0,59,40,509,3,1%,11%
WR81,Mecole Hardman,NYJ,WR,81,114,15,13,84,1,50,36,438,3,3%,9%
WR82,Michael Wilson,ARZ,WR,82,108,15,0,0,0,68,43,511,2,0%,12%
WR83,Corey Davis,NYJ,WR,83,105,14,0,0,0,61,36,494,3,0%,11%
WR84,Mack Hollins,ATL,WR,84,103,15,0,0,0,64,38,482,3,0%,13%
WR85,Marvin Mims,DEN,WR,85,100,15,0,0,0,57,37,461,3,0%,11%
