,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
0,QB1,Patrick Mahomes,KC,QB,1,371.0,16.0,605.0,399.0,4696.0,39.0,11.0,31.0,59.0,333.0,3.0,,,,,,,,,,,
1,QB2,Josh Allen,BUF,QB,2,357.0,16.0,578.0,367.0,4182.0,31.0,13.0,37.0,113.0,628.0,6.0,,,,,,,,,,,
2,QB3,Jalen Hurts,PHI,QB,3,337.0,15.0,467.0,299.0,3507.0,22.0,10.0,35.0,142.0,670.0,12.0,,,,,,,,,,,
3,QB4,Joe Burrow,CIN,QB,4,336.0,16.0,589.0,400.0,4503.0,33.0,12.0,45.0,70.0,255.0,5.0,,,,,,,,,,,
4,QB5,Lamar Jackson,BLT,QB,5,327.0,15.0,459.0,288.0,3358.0,25.0,12.0,36.0,143.0,922.0,5.0,,,,,,,,,,,
5,QB6,Justin Fields,CHI,QB,6,309.0,15.0,441.0,276.0,3195.0,21.0,12.0,39.0,139.0,912.0,6.0,,,,,,,,,,,
6,QB7,Deshaun Watson,CLV,QB,7,297.0,16.0,484.0,315.0,3760.0,25.0,11.0,42.0,99.0,485.0,4.0,,,,,,,,,,,
7,QB8,Justin Herbert,LAC,QB,8,296.0,16.0,602.0,402.0,4305.0,30.0,11.0,35.0,60.0,202.0,1.0,,,,,,,,,,,
8,QB9,Kirk Cousins,MIN,QB,9,285.0,16.0,596.0,394.0,4491.0,28.0,12.0,40.0,30.0,102.0,2.0,,,,,,,,,,,
9,QB10,Trevor Lawrence,JAX,QB,10,282.0,16.0,563.0,363.0,3895.0,26.0,13.0,34.0,64.0,305.0,4.0,,,,,,,,,,,
10,QB11,Dak Prescott,DAL,QB,11,282.0,16.0,538.0,353.0,4094.0,26.0,13.0,32.0,58.0,242.0,3.0,,,,,,,,,,,
11,QB12,Geno Smith,SEA,QB,12,271.0,16.0,545.0,365.0,3922.0,27.0,12.0,43.0,55.0,275.0,1.0,,,,,,,,,,,
12,QB13,Russell Wilson,DEN,QB,13,271.0,16.0,516.0,326.0,3845.0,23.0,11.0,45.0,63.0,323.0,3.0,,,,,,,,,,,
13,QB14,Aaron Rodgers,NYJ,QB,14,269.0,16.0,551.0,355.0,4017.0,28.0,10.0,36.0,36.0,110.0,1.0,,,,,,,,,,,
14,QB15,Daniel Jones,NYG,QB,15,269.0,15.0,512.0,332.0,3385.0,20.0,10.0,41.0,101.0,554.0,4.0,,,,,,,,,,,
15,QB16,Tua Tagovailoa,MIA,QB,16,257.0,15.0,529.0,348.0,3918.0,26.0,12.0,34.0,45.0,140.0,2.0,,,,,,,,,,,
16,QB17,Jared Goff,DET,QB,17,244.0,16.0,554.0,365.0,3940.0,24.0,11.0,31.0,33.0,83.0,2.0,,,,,,,,,,,
17,QB18,Anthony Richardson,IND,QB,18,243.0,15.0,444.0,269.0,2893.0,16.0,13.0,40.0,118.0,652.0,5.0,,,,,,,,,,,
18,QB19,Kenny Pickett,PIT,QB,19,240.0,15.0,496.0,319.0,3417.0,21.0,12.0,35.0,59.0,265.0,3.0,,,,,,,,,,,
19,QB20,Derek Carr,NO,QB,20,238.0,16.0,521.0,344.0,3873.0,23.0,12.0,33.0,34.0,128.0,1.0,,,,,,,,,,,
